nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
"PS. Cibogo",Ciliwung,-6.657083,106.878083,"2019-02-28 18:50:00",190,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-02-28 23:40:00",200,"Status : Normal"
"PS. Depok",Ciliwung,-6.400420,106.831524,"2019-02-28 23:40:00",1220,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-02-28 23:40:00",6730,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-02-28 23:40:00",700,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-02-28 09:50:00",140,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-02-28 10:30:00",3020,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-02-27 16:40:00",1630,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-02-28 23:40:00",1790,"Status : Siaga 3"
"P.A. Pluit","Waduk Pluit",-6.10907603055,106.796648987,"2019-02-27 14:40:00",-1880,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.400528,106.831944,"2019-02-28 23:40:00",1180,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-02-28 23:40:00",350,"Status : Normal"
"Pompa Tanjungan",Tanjungan,-6.106601,106.725045,"2019-02-28 23:40:00",490,"Status : Normal"
"PS. Sunter Hulu",Sunter,,,"2019-02-28 11:50:00",750,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-02-28 23:40:00",3310,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-02-28 23:40:00",380,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-02-28 23:50:00",1090,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-02-28 23:40:00",1980,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-02-28 19:10:00",1900,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-02-28 23:40:00",1580,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-02-27 17:00:00",1610,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-02-28 23:40:00",2110,"Status : Siaga 2"
"PS. Cibogo",Ciliwung,-6.657083,106.878083,"2019-02-28 18:50:00",190,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-02-28 23:50:00",200,"Status : Normal"
"PS. Depok",Ciliwung,-6.400420,106.831524,"2019-02-28 23:50:00",1220,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-02-28 23:50:00",6730,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-02-28 23:50:00",720,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-02-28 09:50:00",140,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-02-28 10:30:00",3020,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-02-27 16:40:00",1630,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-02-28 23:50:00",1680,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.10907603055,106.796648987,"2019-02-27 14:40:00",-1880,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.400528,106.831944,"2019-02-28 23:50:00",1190,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-02-28 23:50:00",360,"Status : Normal"
"Pompa Tanjungan",Tanjungan,-6.106601,106.725045,"2019-02-28 23:50:00",180,"Status : Normal"
"PS. Sunter Hulu",Sunter,,,"2019-02-28 11:50:00",750,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-02-28 23:50:00",3310,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-02-28 23:50:00",390,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-03-01 00:00:00",1090,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-02-28 23:50:00",1970,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-02-28 19:10:00",1900,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-02-28 23:50:00",1590,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-02-27 17:00:00",1610,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-02-28 23:50:00",1970,"Status : Siaga 3"
"PS. Cibogo",Ciliwung,-6.657083,106.878083,"2019-02-28 18:50:00",190,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-03-01 00:00:00",200,"Status : Normal"
"PS. Depok",Ciliwung,-6.400420,106.831524,"2019-03-01 00:00:00",1210,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-03-01 00:00:00",5830,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-03-01 00:00:00",720,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-02-28 09:50:00",140,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-02-28 10:30:00",3020,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-02-27 16:40:00",1630,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-03-01 00:00:00",1780,"Status : Siaga 3"
"P.A. Pluit","Waduk Pluit",-6.10907603055,106.796648987,"2019-03-01 00:00:00",-2090,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.400528,106.831944,"2019-03-01 00:00:00",1190,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-03-01 00:00:00",350,"Status : Normal"
"Pompa Tanjungan",Tanjungan,-6.106601,106.725045,"2019-03-01 00:00:00",160,"Status : Normal"
"PS. Sunter Hulu",Sunter,,,"2019-02-28 11:50:00",750,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-03-01 00:00:00",3310,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-03-01 00:00:00",400,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-03-01 00:10:00",1080,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-03-01 00:00:00",1970,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-02-28 19:10:00",1900,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-03-01 00:00:00",1590,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-02-27 17:00:00",1610,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-03-01 00:00:00",1890,"Status : Siaga 3"
"PS. Cibogo",Ciliwung,-6.657083,106.878083,"2019-02-28 18:50:00",190,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-03-01 00:10:00",200,"Status : Normal"
"PS. Depok",Ciliwung,-6.400420,106.831524,"2019-03-01 00:10:00",1210,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-03-01 00:10:00",6720,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-03-01 00:10:00",730,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-03-01 00:10:00",170,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-02-28 10:30:00",3020,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-03-01 00:10:00",1790,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-03-01 00:10:00",1680,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.10907603055,106.796648987,"2019-03-01 00:10:00",-2090,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.400528,106.831944,"2019-03-01 00:10:00",1190,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-03-01 00:10:00",350,"Status : Normal"
"Pompa Tanjungan",Tanjungan,-6.106601,106.725045,"2019-03-01 00:10:00",180,"Status : Normal"
"PS. Sunter Hulu",Sunter,,,"2019-02-28 11:50:00",750,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-03-01 00:10:00",3310,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-03-01 00:00:00",400,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-03-01 00:20:00",1090,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-03-01 00:10:00",1970,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-02-28 19:10:00",1900,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-03-01 00:10:00",1610,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-03-01 00:10:00",1770,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-03-01 00:10:00",2040,"Status : Siaga 2"
"PS. Cibogo",Ciliwung,-6.657083,106.878083,"2019-02-28 18:50:00",190,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-03-01 00:20:00",220,"Status : Normal"
"PS. Depok",Ciliwung,-6.400420,106.831524,"2019-03-01 00:20:00",1240,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-03-01 00:20:00",6730,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-03-01 00:20:00",740,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-03-01 00:20:00",170,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-02-28 10:30:00",3020,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-03-01 00:20:00",1790,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-03-01 00:20:00",1780,"Status : Siaga 3"
"P.A. Pluit","Waduk Pluit",-6.10907603055,106.796648987,"2019-03-01 00:20:00",-2090,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.400528,106.831944,"2019-03-01 00:20:00",1190,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-03-01 00:20:00",350,"Status : Normal"
"Pompa Tanjungan",Tanjungan,-6.106601,106.725045,"2019-03-01 00:20:00",470,"Status : Normal"
"PS. Sunter Hulu",Sunter,,,"2019-02-28 11:50:00",750,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-03-01 00:20:00",3310,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-03-01 00:20:00",400,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-03-01 00:30:00",1100,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-03-01 00:20:00",1960,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-02-28 19:10:00",1900,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-03-01 00:20:00",1620,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-03-01 00:20:00",1780,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-03-01 00:20:00",2040,"Status : Siaga 2"
"PS. Cibogo",Ciliwung,-6.657083,106.878083,"2019-02-28 18:50:00",190,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-03-01 00:30:00",250,"Status : Normal"
"PS. Depok",Ciliwung,-6.400420,106.831524,"2019-03-01 00:30:00",1250,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-03-01 00:30:00",5850,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-03-01 00:30:00",740,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-03-01 00:30:00",180,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-02-28 10:30:00",3020,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-03-01 00:20:00",1790,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-03-01 00:30:00",1710,"Status : Siaga 3"
"P.A. Pluit","Waduk Pluit",-6.10907603055,106.796648987,"2019-03-01 00:20:00",-2090,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.400528,106.831944,"2019-03-01 00:30:00",1180,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-03-01 00:20:00",350,"Status : Normal"
"Pompa Tanjungan",Tanjungan,-6.106601,106.725045,"2019-03-01 00:30:00",150,"Status : Normal"
"PS. Sunter Hulu",Sunter,,,"2019-02-28 11:50:00",750,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-03-01 00:30:00",3310,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-03-01 00:30:00",400,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-03-01 00:40:00",1070,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-03-01 00:30:00",1960,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-02-28 19:10:00",1900,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-03-01 00:30:00",1620,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-03-01 00:30:00",1780,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-03-01 00:30:00",2010,"Status : Siaga 2"
"PS. Cibogo",Ciliwung,-6.657083,106.878083,"2019-02-28 18:50:00",190,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-03-01 00:40:00",370,"Status : Normal"
"PS. Depok",Ciliwung,-6.400420,106.831524,"2019-03-01 00:40:00",1240,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-03-01 00:40:00",6720,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-03-01 00:40:00",740,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-03-01 00:40:00",180,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-02-28 10:30:00",3020,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-03-01 00:40:00",1780,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-03-01 00:40:00",1700,"Status : Siaga 3"
"P.A. Pluit","Waduk Pluit",-6.10907603055,106.796648987,"2019-03-01 00:40:00",-2090,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.400528,106.831944,"2019-03-01 00:40:00",1160,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-03-01 00:40:00",350,"Status : Normal"
"Pompa Tanjungan",Tanjungan,-6.106601,106.725045,"2019-03-01 00:40:00",160,"Status : Normal"
"PS. Sunter Hulu",Sunter,,,"2019-02-28 11:50:00",750,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-03-01 00:40:00",3310,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-03-01 00:40:00",400,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-03-01 00:50:00",1080,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-03-01 00:40:00",1950,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-02-28 19:10:00",1900,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-03-01 00:40:00",1640,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-03-01 00:40:00",1780,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-03-01 00:40:00",1970,"Status : Siaga 3"
"PS. Cibogo",Ciliwung,-6.657083,106.878083,"2019-02-28 18:50:00",190,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-03-01 00:50:00",460,"Status : Normal"
"PS. Depok",Ciliwung,-6.400420,106.831524,"2019-03-01 00:50:00",1240,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-03-01 00:50:00",6720,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-03-01 00:50:00",730,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-03-01 00:50:00",180,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-02-28 10:30:00",3020,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-03-01 00:50:00",1840,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-03-01 00:50:00",1810,"Status : Siaga 3"
"P.A. Pluit","Waduk Pluit",-6.10907603055,106.796648987,"2019-03-01 00:50:00",-2090,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.400528,106.831944,"2019-03-01 00:50:00",1150,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-03-01 00:50:00",350,"Status : Normal"
"Pompa Tanjungan",Tanjungan,-6.106601,106.725045,"2019-03-01 00:50:00",490,"Status : Normal"
"PS. Sunter Hulu",Sunter,,,"2019-02-28 11:50:00",750,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-03-01 00:50:00",3310,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-03-01 00:50:00",400,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-03-01 01:00:00",1070,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-03-01 00:50:00",1950,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-02-28 19:10:00",1900,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-03-01 00:50:00",1640,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-03-01 00:50:00",1750,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-03-01 00:50:00",1960,"Status : Siaga 3"
"PS. Cibogo",Ciliwung,-6.657083,106.878083,"2019-02-28 18:50:00",190,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-03-01 01:00:00",490,"Status : Normal"
"PS. Depok",Ciliwung,-6.400420,106.831524,"2019-03-01 01:00:00",1250,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-03-01 01:00:00",5830,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-03-01 01:00:00",710,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-03-01 01:00:00",180,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-02-28 10:30:00",3020,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-03-01 01:00:00",1820,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-03-01 01:00:00",1730,"Status : Siaga 3"
"P.A. Pluit","Waduk Pluit",-6.10907603055,106.796648987,"2019-03-01 01:00:00",-2100,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.400528,106.831944,"2019-03-01 01:00:00",1140,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-03-01 01:50:00",350,"Status : Normal"
"Pompa Tanjungan",Tanjungan,-6.106601,106.725045,"2019-03-01 01:00:00",170,"Status : Normal"
"PS. Sunter Hulu",Sunter,,,"2019-02-28 11:50:00",750,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-03-01 01:00:00",3310,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-03-01 01:00:00",400,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-03-01 01:10:00",1080,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-03-01 01:00:00",1950,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-02-28 19:10:00",1900,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-03-01 01:00:00",1640,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-03-01 01:00:00",1700,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-03-01 01:00:00",1950,"Status : Siaga 3"
"PS. Cibogo",Ciliwung,-6.657083,106.878083,"2019-02-28 18:50:00",190,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-03-01 01:10:00",470,"Status : Normal"
"PS. Depok",Ciliwung,-6.400420,106.831524,"2019-03-01 01:10:00",470,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-03-01 01:10:00",6720,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-03-01 01:10:00",90,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-03-01 01:10:00",180,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-02-28 10:30:00",3020,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-03-01 01:10:00",1030,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-03-01 01:10:00",200,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.10907603055,106.796648987,"2019-03-01 01:10:00",-2400,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.400528,106.831944,"2019-03-01 01:10:00",1120,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-03-01 01:50:00",350,"Status : Normal"
"Pompa Tanjungan",Tanjungan,-6.106601,106.725045,"2019-03-01 01:10:00",160,"Status : Normal"
"PS. Sunter Hulu",Sunter,,,"2019-02-28 11:50:00",750,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-03-01 01:10:00",3310,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-03-01 01:10:00",0,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-03-01 01:20:00",1080,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-03-01 01:10:00",1940,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-02-28 19:10:00",1900,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-03-01 01:10:00",1610,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-03-01 01:10:00",1660,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-03-01 01:10:00",1950,"Status : Siaga 3"
"PS. Cibogo",Ciliwung,-6.657083,106.878083,"2019-02-28 18:50:00",190,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-03-01 01:20:00",440,"Status : Normal"
"PS. Depok",Ciliwung,-6.400420,106.831524,"2019-03-01 01:20:00",1290,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-03-01 01:20:00",6730,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-03-01 01:10:00",90,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-03-01 01:20:00",180,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-02-28 10:30:00",3020,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-03-01 01:20:00",1780,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-03-01 01:20:00",1720,"Status : Siaga 3"
"P.A. Pluit","Waduk Pluit",-6.10907603055,106.796648987,"2019-03-01 01:20:00",-2100,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.400528,106.831944,"2019-03-01 01:20:00",1090,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-03-01 01:50:00",350,"Status : Normal"
"Pompa Tanjungan",Tanjungan,-6.106601,106.725045,"2019-03-01 01:20:00",170,"Status : Normal"
"PS. Sunter Hulu",Sunter,,,"2019-02-28 11:50:00",750,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-03-01 01:20:00",3310,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-03-01 01:20:00",440,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-03-01 01:30:00",1080,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-03-01 01:20:00",1940,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-02-28 19:10:00",1900,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-03-01 01:20:00",1580,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-03-01 01:20:00",1610,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-03-01 01:20:00",1940,"Status : Siaga 3"
"PS. Cibogo",Ciliwung,-6.657083,106.878083,"2019-02-28 18:50:00",190,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-03-01 01:30:00",400,"Status : Normal"
"PS. Depok",Ciliwung,-6.400420,106.831524,"2019-03-01 01:30:00",1290,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-03-01 01:30:00",5850,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-03-01 01:30:00",660,"Status : Normal"
